owner/repo,lang,label,wilcoxon_pvalue,identical,delta,eff_size,invalid,summary_treatment,summary_control
pmd/pmd,JAVA,good first issue,2.044E-15,False,0.358608,medium,False,Min=0;Median=1.000;Mean=0.887;Max=5;std_dev=1.045,Min=0;Median=0.000;Mean=0.256;Max=3;std_dev=0.545
quarkusio/quarkus,JAVA,help wanted,,,,,True,,
querydsl/querydsl,JAVA,good first issue,2.180E-02,False,0.09063467,negligible,False,Min=0;Median=0.000;Mean=0.358;Max=4;std_dev=0.630,Min=0;Median=0.000;Mean=0.239;Max=3;std_dev=0.524
ReactiveX/RxJava,JAVA,PR welcome,1.969E-01,False,0.08957529,negligible,False,Min=0;Median=1.000;Mean=1.081;Max=7;std_dev=1.189,Min=0;Median=1.000;Mean=0.892;Max=5;std_dev=1.054
robolectric/robolectric,JAVA,help wanted,2.381E-12,False,-0.3222432,small,False,Min=0;Median=0.000;Mean=0.409;Max=3;std_dev=0.653,Min=0;Median=1.000;Mean=1.069;Max=6;std_dev=1.198
rstudio/rstudio,JAVA,good first issue,3.972E-07,False,0.1819582,small,False,Min=0;Median=0.000;Mean=0.401;Max=5;std_dev=0.684,Min=0;Median=0.000;Mean=0.162;Max=2;std_dev=0.422
runelite/runelite,JAVA,help wanted,2.200E-16,False,0.9764837,large,False,Min=0;Median=5.000;Mean=5.897;Max=21;std_dev=3.773,Min=0;Median=0.000;Mean=0.095;Max=2;std_dev=0.334
Sable/soot,JAVA,good first issue,4.808E-02,False,0.1201205,negligible,False,Min=0;Median=0.000;Mean=0.283;Max=3;std_dev=0.514,Min=0;Median=0.000;Mean=0.140;Max=1;std_dev=0.350
SeleniumHQ/selenium,JAVA,E-easy,2.776E-09,False,0.3631325,medium,False,Min=0;Median=2.000;Mean=2.310;Max=11;std_dev=1.785,Min=0;Median=1.000;Mean=1.254;Max=5;std_dev=1.158
spotbugs/spotbugs,JAVA,help wanted,,,,,True,,
spring-projects/spring-batch,JAVA,status: ideal-for-contribution,,,,,True,,
spring-projects/spring-boot,JAVA,status: ideal-for-contribution,1.081E-04,False,0.3087872,small,False,Min=0;Median=4.000;Mean=4.322;Max=12;std_dev=2.396,Min=0;Median=3.000;Mean=3.019;Max=11;std_dev=2.325
spring-projects/spring-framework,JAVA,status: ideal-for-contribution,2.200E-16,False,0.7342048,large,False,Min=0;Median=4.000;Mean=4.088;Max=11;std_dev=2.267,Min=0;Median=1.000;Mean=1.254;Max=6;std_dev=1.355
spring-projects/spring-security,JAVA,status: ideal-for-contribution,,,,,True,,
stanfordnlp/CoreNLP,JAVA,help wanted,4.325E-01,False,-0.0320834,negligible,False,Min=0;Median=0.000;Mean=0.254;Max=3;std_dev=0.518,Min=0;Median=0.000;Mean=0.315;Max=3;std_dev=0.613
TechEmpower/FrameworkBenchmarks,JAVA,Hacktoberfest,1.328E-06,False,0.2568056,small,False,Min=0;Median=2.000;Mean=1.960;Max=10;std_dev=1.619,Min=0;Median=1.000;Mean=1.471;Max=15;std_dev=2.011
vaadin/framework,JAVA,Good First Issue,,,,,True,,
vector-im/riot-android,JAVA,help wanted,,,,,True,,
vespa-engine/vespa,JAVA,need help,2.958E-02,False,0.1062802,negligible,False,Min=0;Median=0.000;Mean=0.319;Max=12;std_dev=1.117,Min=0;Median=0.000;Mean=0.092;Max=2;std_dev=0.334
